college_code,college_name,place,district,branch_code,branch,category,gender,cutoff_rank
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,GIRLS,53269
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,31292
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,GIRLS,31292
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC,BOYS,157702
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC,GIRLS,157702
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,BOYS,170044
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,GIRLS,170804
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_A,BOYS,155296
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_A,GIRLS,155296
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_B,BOYS,125800
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_B,GIRLS,125800
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_C,BOYS,45167
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_C,GIRLS,45167
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_D,BOYS,107586
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_D,GIRLS,116226
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_E,BOYS,157375
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_E,GIRLS,157375
